Borough,% French immigrants / total immigrant (2016),% French immigrants / total borough population (2016),Source: http://ville.montreal.qc.ca/portal/page?_pageid=6897.67845597&_dad=portal&_schema=PORTAL
Ahuntsic-Cartierville,3.5,1.36,
Anjou,2.8,0.9,
Cote-des-Neiges-Notre-Dame-de-Grace,5.5,2.5,
Lachine,4.8,1.03,
LaSalle,1.5,0.53,
Le Plateau-Mont-Royal,27.7,6.47,
Le Sud-Ouest,8.2,2.01,
L'Ile-Bizard-Sainte-Genevieve,5.2,1.27,
Mercier-Hochelaga-Maisonneuve,9.6,1.96,
Montreal-Nord,1.4,0.55,
Outremont,22.7,5.43,
Pierrefonds-Roxboro,1.4,0.55,
Riviere-des-Prairies-Pointe-aux-Trembles,2.0,0.48,
Rosemont-La Petite-Patrie,16.4,3.59,
Saint-Laurent,1.8,0.93,
Saint-Leonard,1.1,0.54,
Verdun,11.9,2.81,
Ville-Marie,12.4,3.82,
Villeray-Saint-Michel-Parc-Extension,4.3,1.81,
